,playerName,seasonStartYear,salary,inflationAdjSalary,birthDate,startYear,position,height,weight
119,Armen Gilliam,1996,"$2,317,000","$4,017,355",1964-05-28,1988.0,F-C,6-9,230.0
120,Terry Davis,1996,"$2,300,000","$3,987,880",1967-06-17,1990.0,F-C,6-9,225.0
121,Antoine Carr,1996,"$2,300,000","$3,987,880",1961-07-23,1985.0,F-C,6-9,225.0
122,Jerry Stackhouse,1996,"$2,286,000","$3,963,605",1974-11-05,1996.0,G-F,6-6,218.0
123,Kevin Edwards,1996,"$2,280,000","$3,953,202",1965-10-30,1989.0,G,6-3,190.0
124,Rodney Rogers,1996,"$2,280,000","$3,953,202",1971-06-20,1994.0,F,6-7,235.0
125,Allen Iverson,1996,"$2,267,000","$3,930,662",1975-06-07,1997.0,G,6-0,165.0
126,Grant Long,1996,"$2,260,000","$3,918,525",1966-03-12,1989.0,F,6-8,225.0
127,Jayson Williams,1996,"$2,250,000","$3,901,186",1968-02-22,1991.0,F-C,6-9,240.0
128,Scottie Pippen,1996,"$2,250,000","$3,901,186",1965-09-25,1988.0,F-G,6-8,210.0
129,John Salley,1996,"$2,225,000","$3,857,840",1964-05-16,1987.0,F-C,6-11,230.0
130,Duane Causwell,1996,"$2,215,000","$3,840,501",1968-05-31,1991.0,C,7-0,240.0
131,Shareef Abdur-Rahim,1996,"$2,186,000","$3,790,219",1976-12-11,1997.0,F,6-9,225.0
132,Doug West,1996,"$2,155,000","$3,736,470",1967-05-27,1990.0,G-F,6-6,200.0
133,Blue Edwards,1996,"$2,100,000","$3,641,107",1965-10-31,1990.0,G-F,6-4,200.0
134,George Lynch,1996,"$2,090,000","$3,623,769",1970-09-03,1994.0,F,6-8,218.0
135,Rasheed Wallace,1996,"$2,060,000","$3,571,753",1974-09-17,1996.0,F-C,6-10,225.0
136,Chuck Person,1996,"$2,060,000","$3,571,753",1964-06-27,1987.0,F,6-8,220.0
137,Reggie Williams,1996,"$2,048,000","$3,550,947",1964-03-05,1988.0,F-G,6-7,190.0
138,Vinny Del Negro,1996,"$2,023,000","$3,507,600",1966-08-09,1989.0,G,6-4,185.0
139,Mark West,1996,"$2,000,000","$3,467,721",1960-11-05,1984.0,C-F,6-10,230.0
140,Vincent Askew,1996,"$2,000,000","$3,467,721",1966-02-28,1988.0,G-F,6-6,210.0
141,PJ Brown,1996,"$2,000,000","$3,467,721",,,,,
142,Elliot Perry,1996,"$2,000,000","$3,467,721",1969-03-28,1992.0,G,6-0,150.0
143,Adam Keefe,1996,"$1,950,000","$3,381,028",1970-02-22,1993.0,F,6-9,230.0
144,Stephon Marbury,1996,"$1,917,000","$3,323,811",1977-02-20,1997.0,G,6-2,180.0
145,John Starks,1996,"$1,913,000","$3,316,875",1965-08-10,1989.0,G,6-3,180.0
146,Terry Dehere,1996,"$1,905,000","$3,303,004",1971-09-12,1994.0,G,6-2,190.0
147,Nick Van Exel,1996,"$1,900,000","$3,294,335",1971-11-27,1994.0,G,6-1,170.0
148,Sasha Danilovic,1996,"$1,892,000","$3,280,464",,,,,
149,Greg Anthony,1996,"$1,875,000","$3,250,989",1967-11-15,1992.0,G,6-0,176.0
150,Dell Curry,1996,"$1,830,000","$3,172,965",1964-06-25,1987.0,G,6-4,190.0
151,Bobby Phills,1996,"$1,808,000","$3,134,820",1969-12-20,1992.0,G,6-5,210.0
152,Greg Minor,1996,"$1,800,000","$3,120,949",1971-09-18,1995.0,G-F,6-6,210.0
153,Eddie Jones,1996,"$1,800,000","$3,120,949",1971-10-20,1995.0,G-F,6-6,190.0
154,Ray Allen,1996,"$1,785,000","$3,094,941",1975-07-20,1997.0,G,6-5,205.0
155,Don MacLean,1996,"$1,780,000","$3,086,272",1970-01-16,1993.0,F,6-10,235.0
156,Terry Porter,1996,"$1,775,000","$3,077,603",1963-04-08,1986.0,G,6-3,195.0
157,Pervis Ellison,1996,"$1,760,000","$3,051,595",1967-04-03,1990.0,F-C,6-9,210.0
158,Khalid Reeves,1996,"$1,752,000","$3,037,724",1972-07-15,1995.0,G,6-3,199.0
159,Rick Fox,1996,"$1,750,000","$3,034,256",1969-07-24,1992.0,F-G,6-7,230.0
160,Malik Sealy,1996,"$1,732,000","$3,003,047",1970-02-01,1993.0,G,6-8,190.0
161,Lindsey Hunter,1996,"$1,715,000","$2,973,571",1970-12-03,1994.0,G,6-2,170.0
162,Robert Horry,1996,"$1,703,000","$2,952,765",1970-08-25,1993.0,F,6-10,240.0
163,Donald Royal,1996,"$1,700,000","$2,947,563",1966-05-22,1990.0,F,6-8,210.0
164,Tracy Murray,1996,"$1,700,000","$2,947,563",1971-07-25,1993.0,F,6-7,225.0
165,Bryant Reeves,1996,"$1,695,000","$2,938,894",1973-06-08,1996.0,C,7-0,275.0
166,Kevin Garnett,1996,"$1,666,000","$2,888,612",1976-05-19,1996.0,F-C,6-11,240.0
167,Ervin Johnson,1996,"$1,636,000","$2,836,596",1967-12-21,1994.0,C,6-11,245.0
168,Antoine Walker,1996,"$1,620,000","$2,808,854",1976-08-12,1997.0,F,6-8,224.0
169,Dale Ellis,1996,"$1,600,000","$2,774,177",1960-08-06,1984.0,G-F,6-7,205.0
170,Brent Price,1996,"$1,600,000","$2,774,177",1968-12-09,1993.0,G,6-1,165.0
171,Popeye Jones,1996,"$1,581,000","$2,741,234",1970-06-17,1994.0,F,6-8,250.0
172,Muggsy Bogues,1996,"$1,575,000","$2,730,830",1965-01-09,1988.0,G,5-3,136.0
173,Michael Smith,1996,"$1,570,000","$2,722,161",1965-05-19,1990.0,F,6-10,225.0
174,Matt Geiger,1996,"$1,562,000","$2,708,290",1969-09-10,1993.0,C,7-0,243.0
175,Jalen Rose,1996,"$1,560,000","$2,704,822",1973-01-30,1995.0,G-F,6-8,210.0
176,Carl Herrera,1996,"$1,550,000","$2,687,484",1966-12-14,1992.0,F,6-9,215.0
177,Damon Stoudamire,1996,"$1,547,000","$2,682,282",1973-09-03,1996.0,G,5-10,171.0
178,Will Perdue,1996,"$1,544,000","$2,677,081",1965-08-29,1989.0,C,7-0,240.0
179,Anthony Peeler,1996,"$1,540,000","$2,670,145",1969-11-25,1993.0,G,6-4,208.0
180,Frank Brickowski,1996,"$1,500,000","$2,600,791",1959-08-14,1985.0,F-C,6-9,240.0
181,Kevin Willis,1996,"$1,500,000","$2,600,791",1962-09-06,1985.0,F-C,7-0,220.0
182,Lorenzen Wright,1996,"$1,480,000","$2,566,114",1975-11-04,1997.0,F-C,6-11,225.0
183,Michael Cage,1996,"$1,473,000","$2,553,977",1962-01-28,1985.0,F-C,6-9,224.0
184,Kenny Gattison,1996,"$1,450,000","$2,514,098",1964-05-23,1987.0,F-C,6-8,225.0
185,Yinka Dare,1996,"$1,448,000","$2,510,630",1972-10-10,1995.0,C,7-0,265.0
186,Marty Conlon,1996,"$1,447,500","$2,509,763",1968-01-19,1992.0,F-C,6-10,224.0
187,Shawn Respert,1996,"$1,417,000","$2,456,880",1972-02-06,1996.0,G,6-1,195.0
188,Bimbo Coles,1996,"$1,400,000","$2,427,405",1968-04-22,1991.0,G,6-1,180.0
189,Mario Elie,1996,"$1,400,000","$2,427,405",1963-11-26,1991.0,G-F,6-5,210.0
190,Eric Piatkowski,1996,"$1,363,000","$2,363,252",1970-09-30,1995.0,G-F,6-7,215.0
191,Kerry Kittles,1996,"$1,356,000","$2,351,115",1974-06-12,1997.0,G,6-5,179.0
192,Nate McMillan,1996,"$1,355,000","$2,349,381",1964-08-03,1987.0,G-F,6-5,195.0
193,Doug Christie,1996,"$1,355,000","$2,349,381",1970-05-09,1993.0,G-F,6-6,200.0
194,Brooks Thompson,1996,"$1,332,300","$2,310,022",1970-07-19,1995.0,G,6-4,193.0
195,Greg Graham,1996,"$1,330,000","$2,306,034",1970-11-26,1994.0,G,6-4,174.0
196,Terrell Brandon,1996,"$1,312,000","$2,274,825",1970-05-20,1992.0,G,5-11,180.0
197,Ed O'Bannon,1996,"$1,303,000","$2,259,220",1972-08-14,1996.0,F,6-8,222.0
198,Randy Brown,1996,"$1,300,000","$2,254,019",1968-05-22,1992.0,G,6-2,190.0
199,Derek Harper,1996,"$1,300,000","$2,254,019",1961-10-13,1984.0,G,6-4,185.0
200,Hubert Davis,1996,"$1,295,000","$2,245,349",1970-05-17,1993.0,G,6-5,183.0
201,Brian Grant,1996,"$1,293,000","$2,241,882",1972-03-05,1995.0,F,6-9,254.0
202,Eric Montross,1996,"$1,280,000","$2,219,341",1971-09-23,1995.0,C,7-0,270.0
203,Samaki Walker,1996,"$1,246,000","$2,160,390",1976-02-25,1997.0,F,6-9,240.0
204,Kurt Thomas,1996,"$1,238,000","$2,146,519",1972-10-04,1996.0,F,6-9,230.0
205,Scott Burrell,1996,"$1,235,000","$2,141,318",1971-01-12,1994.0,G-F,6-7,218.0
206,Chris Mills,1996,"$1,235,000","$2,141,318",1970-01-25,1994.0,F,6-6,215.0
207,Sam Cassell,1996,"$1,235,000","$2,141,318",1969-11-18,1994.0,G,6-3,185.0
208,Corie Blount,1996,"$1,235,000","$2,141,318",1969-01-04,1994.0,F,6-9,240.0
209,James Robinson,1996,"$1,235,000","$2,141,318",1970-08-31,1994.0,G,6-2,180.0
210,Rex Walters,1996,"$1,235,000","$2,141,318",1970-03-12,1994.0,G,6-4,190.0
211,Joe Kleine,1996,"$1,235,000","$2,141,318",1962-01-04,1986.0,C,6-11,255.0
212,Acie Earl,1996,"$1,235,000","$2,141,318",1970-06-23,1994.0,F-C,6-10,240.0
213,Johnny Newman,1996,"$1,225,000","$2,123,979",1963-11-28,1987.0,F-G,6-7,190.0
214,Ricky Pierce,1996,"$1,200,000","$2,080,633",1959-08-19,1983.0,G,6-4,205.0
215,Eddie Johnson,1996,"$1,200,000","$2,080,633",1955-02-24,1978.0,G,6-2,180.0
216,Sean Rooks,1996,"$1,200,000","$2,080,633",1969-09-09,1993.0,C,6-10,250.0
217,Sam Mitchell,1996,"$1,200,000","$2,080,633",1963-09-02,1990.0,F,6-6,210.0
218,Lucious Harris,1996,"$1,200,000","$2,080,633",1970-12-18,1994.0,G,6-5,190.0
219,Kevin Gamble,1996,"$1,196,000","$2,073,697",1965-11-13,1988.0,F-G,6-5,210.0
220,Buck Williams,1996,"$1,193,000","$2,068,496",1960-03-08,1982.0,F-C,6-8,215.0
221,Erick Dampier,1996,"$1,184,000","$2,052,891",1975-07-14,1997.0,C,6-11,265.0
222,Gary Trent,1996,"$1,176,000","$2,039,020",1974-09-22,1996.0,F,6-8,250.0
223,Jon Koncak,1996,"$1,150,000","$1,993,940",1963-05-17,1986.0,C-F,7-0,250.0
224,Mark Bryant,1996,"$1,150,000","$1,993,940",1965-04-25,1989.0,F-C,6-9,245.0
225,Carlos Rogers,1996,"$1,144,000","$1,983,536",1971-02-06,1995.0,C-F,6-11,220.0
226,Todd Fuller,1996,"$1,125,000","$1,950,593",1974-07-25,1997.0,C,6-11,255.0
227,Bill Curley,1996,"$1,123,000","$1,947,125",1972-05-29,1995.0,F,6-9,220.0
228,Tony Dumas,1996,"$1,120,000","$1,941,924",1972-08-25,1995.0,G,6-6,190.0
229,Cherokee Parks,1996,"$1,117,000","$1,936,722",1972-10-11,1996.0,C-F,6-11,235.0
230,George McCloud,1996,"$1,100,000","$1,907,246",1967-05-27,1990.0,G-F,6-6,205.0
231,Lee Mayberry,1996,"$1,100,000","$1,907,246",1970-06-12,1993.0,G,6-1,172.0
232,Haywoode Workman,1996,"$1,080,000","$1,872,569",1966-01-23,1990.0,G,6-2,180.0
233,Tom Hammonds,1996,"$1,070,000","$1,855,231",1967-03-27,1990.0,F,6-9,215.0
234,Vitaly Potapenko,1996,"$1,068,000","$1,851,763",1975-03-21,1997.0,C,6-10,280.0
235,Corliss Williamson,1996,"$1,051,000","$1,822,287",1973-12-04,1996.0,F,6-7,245.0
236,Dickey Simpkins,1996,"$1,040,000","$1,803,215",1972-04-06,1995.0,F,6-9,248.0
237,Duane Ferrell,1996,"$1,040,000","$1,803,215",1965-02-28,1989.0,F-G,6-7,209.0
238,Clifford Rozier,1996,"$1,040,000","$1,803,215",1972-10-31,1995.0,C-F,6-11,245.0
239,Wesley Person,1996,"$1,040,000","$1,803,215",1971-03-28,1995.0,G,6-6,195.0
240,Aaron McKie,1996,"$1,040,000","$1,803,215",1972-10-02,1995.0,G,6-5,209.0
241,Avery Johnson,1996,"$1,040,000","$1,803,215",1965-03-25,1989.0,G,5-10,175.0
242,Monty Williams,1996,"$1,040,000","$1,803,215",1971-10-08,1995.0,F,6-8,225.0
243,B.J. Tyler,1996,"$1,040,000","$1,803,215",1971-04-30,1995.0,G,6-1,185.0
244,Kobe Bryant,1996,"$1,015,000","$1,759,868",1978-08-23,1997.0,G-F,6-6,212.0
245,Eric Williams,1996,"$1,008,000","$1,747,731",1972-07-17,1996.0,F,6-8,220.0
246,Bill Wennington,1996,"$1,000,000","$1,733,860",1963-04-26,1986.0,C,7-0,245.0
247,Robert Parish,1996,"$1,000,000","$1,733,860",1953-08-30,1977.0,C,7-1,230.0
248,Vernon Maxwell,1996,"$1,000,000","$1,733,860",1965-09-12,1989.0,G,6-4,180.0
249,Jamie Watson,1996,"$1,000,000","$1,733,860",1972-02-23,1995.0,F,6-7,190.0
250,Eric Mobley,1996,"$992,000","$1,719,989",1970-02-01,1995.0,C,6-11,235.0
251,Brent Barry,1996,"$958,000","$1,661,038",1971-12-31,1996.0,G,6-6,185.0
252,Lorenzo Williams,1996,"$940,000","$1,629,829",1969-07-15,1993.0,F-C,6-9,200.0
253,Steve Nash,1996,"$916,000","$1,588,216",1974-02-07,1997.0,G,6-3,195.0
254,Alan Henderson,1996,"$910,000","$1,577,813",1972-12-02,1996.0,F,6-9,235.0
255,Charlie Ward,1996,"$888,000","$1,539,668",1970-10-12,1995.0,G,6-2,190.0
256,Tony Delk,1996,"$870,000","$1,508,458",1974-01-28,1997.0,G,6-1,189.0
257,Bob Sura,1996,"$864,000","$1,498,055",1973-03-25,1996.0,G,6-5,200.0
258,Jermaine O'Neal,1996,"$827,000","$1,433,902",1978-10-13,1997.0,C-F,6-11,226.0
259,Theo Ratliff,1996,"$821,000","$1,423,499",1973-04-17,1996.0,C-F,6-10,225.0
260,Zan Tabak,1996,"$800,000","$1,387,088",,,,,
261,John Wallace,1996,"$785,000","$1,361,080",1974-02-09,1997.0,F,6-8,225.0
262,Randolph Childress,1996,"$784,000","$1,359,346",1972-09-21,1996.0,G,6-2,188.0
263,Herb Williams,1996,"$757,000","$1,312,532",1958-02-16,1982.0,C-F,6-10,242.0
264,Steve Kerr,1996,"$750,000","$1,300,395",1965-09-27,1989.0,G,6-3,175.0
265,Chris Carr,1996,"$750,000","$1,300,395",1974-03-12,1996.0,G,6-5,207.0
266,Walter McCarty,1996,"$750,000","$1,300,395",1974-02-01,1997.0,F,6-10,230.0
267,Michael Finley,1996,"$723,000","$1,253,581",1973-03-06,1996.0,G-F,6-7,215.0
268,Zydrunas Ilgauskas,1996,"$720,000","$1,248,379",1975-06-05,1998.0,C,7-3,238.0
269,Jason Caffey,1996,"$700,000","$1,213,702",1973-06-12,1996.0,F,6-8,255.0
270,Pete Chilcutt,1996,"$700,000","$1,213,702",1968-09-14,1992.0,F-C,6-10,230.0
271,George Zidek,1996,"$694,000","$1,203,299",,,,,
272,Dontae' Jones,1996,"$691,000","$1,198,097",1975-06-02,1998.0,F,6-8,220.0
273,Travis Best,1996,"$666,000","$1,154,751",1972-07-12,1996.0,G,5-11,182.0
274,Roy Rogers,1996,"$664,000","$1,151,283",1973-08-19,1997.0,F,6-10,235.0
275,Keith Askins,1996,"$650,000","$1,127,009",1967-12-15,1991.0,G-F,6-7,197.0
276,Loren Meyer,1996,"$639,000","$1,107,937",1972-12-30,1996.0,C,6-10,257.0
