,playerName,seasonStartYear,salary,inflationAdjSalary,birthDate,startYear,position,height,weight,MP,PTS,Age,team,games,games_started,PER,FTr,AST,STL,TRB,FT,3P,FG,position_enc,team_enc,height_enc
39,Kenny Anderson,1996,"$4,175,000","$7,238,869",1970-10-09,1992.0,G,6-0,168.0,2344.0,1050.0,25.0,TOT,69.0,64.0,19.5,0.405,575.0,111.0,203.0,260.0,92.0,349.0,5,34,6
40,John Williams,1996,"$4,151,000","$7,197,256",1966-10-26,1987.0,F-C,6-8,235.0,,,,,,,,,,,,,,,3,-1,16
41,Harvey Grant,1996,"$4,111,000","$7,127,902",1965-07-04,1989.0,F,6-8,195.0,2394.0,709.0,30.0,POR,76.0,75.0,10.4,0.162,111.0,60.0,361.0,60.0,21.0,314.0,2,29,16
42,Chris Dudley,1996,"$4,100,000","$7,108,829",1965-02-22,1988.0,C,6-11,235.0,1924.0,404.0,30.0,POR,80.0,61.0,12.2,0.439,37.0,41.0,720.0,80.0,0.0,162.0,0,29,9
43,Glen Rice,1996,"$4,002,000","$6,938,911",1967-05-28,1990.0,F,6-8,215.0,3142.0,1710.0,28.0,CHH,79.0,79.0,17.8,0.294,232.0,91.0,378.0,319.0,171.0,610.0,2,4,16
44,Rik Smits,1996,"$4,000,000","$6,935,443",1966-08-23,1989.0,C,7-4,250.0,1901.0,1164.0,29.0,IND,63.0,63.0,19.0,0.328,110.0,21.0,433.0,231.0,1.0,466.0,0,13,22
45,Brian Shaw,1996,"$4,000,000","$6,935,443",1966-03-22,1989.0,G,6-6,190.0,1679.0,496.0,29.0,ORL,75.0,1.0,10.2,0.235,336.0,58.0,224.0,91.0,41.0,182.0,5,26,14
46,Toni Kukoc,1996,"$3,960,000","$6,866,089",,,,,,2103.0,1065.0,27.0,CHI,81.0,20.0,20.4,0.339,287.0,64.0,323.0,206.0,87.0,386.0,-1,5,-1
47,Jim Jackson,1996,"$3,900,000","$6,762,057",1970-10-14,1993.0,G,6-6,220.0,2820.0,1604.0,25.0,DAL,82.0,82.0,16.6,0.32,235.0,47.0,410.0,345.0,121.0,569.0,5,8,14
48,Ron Harper,1996,"$3,840,000","$6,658,025",1964-01-20,1987.0,G-F,6-6,185.0,1886.0,594.0,32.0,CHI,80.0,80.0,14.4,0.277,208.0,105.0,213.0,98.0,28.0,234.0,6,5,14
49,Jamal Mashburn,1996,"$3,833,000","$6,645,888",1972-11-29,1994.0,F,6-8,240.0,669.0,422.0,23.0,DAL,18.0,18.0,14.4,0.347,50.0,14.0,97.0,97.0,35.0,145.0,2,8,16
50,Kendall Gill,1996,"$3,800,000","$6,588,671",1968-05-25,1991.0,G,6-5,195.0,1683.0,656.0,27.0,TOT,47.0,46.0,15.5,0.336,260.0,64.0,232.0,138.0,26.0,246.0,5,34,13
51,Nick Anderson,1996,"$3,790,000","$6,571,332",1968-01-20,1990.0,F-G,6-6,205.0,2717.0,1134.0,28.0,ORL,77.0,77.0,16.5,0.265,279.0,121.0,415.0,166.0,168.0,400.0,4,26,14
52,Billy Owens,1996,"$3,773,000","$6,541,857",1969-05-01,1992.0,F-G,6-8,220.0,1982.0,808.0,26.0,TOT,62.0,51.0,14.2,0.367,204.0,49.0,411.0,157.0,5.0,323.0,4,34,16
53,Vin Baker,1996,"$3,765,000","$6,527,986",1971-11-23,1994.0,F,6-11,232.0,3319.0,1729.0,24.0,MIL,82.0,82.0,18.4,0.335,212.0,68.0,808.0,321.0,10.0,699.0,2,18,9
54,Rony Seikaly,1996,"$3,752,000","$6,505,446",1965-05-10,1989.0,C,6-11,230.0,1813.0,776.0,30.0,GSW,64.0,60.0,14.2,0.496,71.0,40.0,499.0,204.0,2.0,285.0,0,11,9
55,Isaiah Rider,1996,"$3,610,000","$6,259,237",1971-03-12,1994.0,G,6-5,215.0,2594.0,1470.0,24.0,MIN,75.0,68.0,15.6,0.245,213.0,48.0,309.0,248.0,102.0,560.0,5,19,13
56,Sherman Douglas,1996,"$3,594,000","$6,231,496",1966-09-15,1990.0,G,6-0,180.0,2335.0,890.0,29.0,TOT,79.0,66.0,14.6,0.32,436.0,63.0,180.0,160.0,40.0,345.0,5,34,6
57,Mitch Richmond,1996,"$3,575,000","$6,198,552",1965-06-30,1989.0,G,6-5,215.0,2946.0,1872.0,30.0,SAC,81.0,81.0,19.2,0.359,255.0,125.0,269.0,425.0,225.0,611.0,5,30,13
58,Charles Smith,1996,"$3,557,000","$6,167,343",1965-07-16,1989.0,F-C,6-10,230.0,39.0,6.0,28.0,MIN,8.0,0.0,-2.2,0.2,6.0,1.0,5.0,0.0,0.0,3.0,3,19,8
59,Tyrone Hill,1996,"$3,480,000","$6,033,835",1968-03-19,1991.0,F,6-9,240.0,929.0,341.0,27.0,CLE,44.0,2.0,14.6,0.531,33.0,31.0,244.0,81.0,0.0,130.0,2,7,17
60,Wayman Tisdale,1996,"$3,475,000","$6,025,166",1964-06-09,1986.0,F-C,6-9,240.0,1152.0,672.0,31.0,PHO,63.0,6.0,16.4,0.264,58.0,15.0,214.0,114.0,0.0,279.0,3,28,17
61,Mark Price,1996,"$3,409,000","$5,910,731",1964-02-15,1987.0,G,6-0,170.0,127.0,56.0,31.0,WSB,7.0,1.0,10.3,0.167,18.0,6.0,7.0,10.0,10.0,18.0,5,38,6
62,Dana Barros,1996,"$3,400,000","$5,895,126",1967-04-13,1990.0,G,5-11,163.0,2328.0,1038.0,28.0,BOS,80.0,25.0,15.6,0.182,306.0,58.0,192.0,130.0,150.0,379.0,5,1,1
63,Bryant Stith,1996,"$3,400,000","$5,895,126",1970-12-10,1993.0,G,6-5,208.0,2810.0,1119.0,25.0,DEN,82.0,77.0,13.9,0.416,241.0,114.0,400.0,320.0,41.0,379.0,5,9,13
64,Donyell Marshall,1996,"$3,360,000","$5,825,772",1973-05-18,1995.0,F,6-9,218.0,934.0,342.0,22.0,GSW,62.0,6.0,12.7,0.264,49.0,22.0,213.0,64.0,28.0,125.0,2,11,17
65,Detlef Schrempf,1996,"$3,333,000","$5,778,958",1963-01-21,1986.0,F-C,6-10,235.0,2200.0,1080.0,33.0,SEA,63.0,60.0,17.3,0.5,276.0,56.0,328.0,287.0,73.0,360.0,3,32,8
66,Shawn Kemp,1996,"$3,300,000","$5,721,740",1969-11-26,1990.0,F-C,6-10,230.0,2631.0,1550.0,26.0,SEA,79.0,76.0,22.6,0.709,173.0,93.0,904.0,493.0,5.0,526.0,3,32,8
67,Clarence Weatherspoon,1996,"$3,300,000","$5,721,740",1970-09-08,1993.0,F,6-6,240.0,3096.0,1300.0,25.0,PHI,78.0,75.0,17.1,0.42,158.0,112.0,753.0,318.0,0.0,491.0,2,27,14
68,LaPhonso Ellis,1996,"$3,294,000","$5,711,337",1970-05-05,1993.0,F,6-8,240.0,1269.0,471.0,25.0,DEN,45.0,28.0,12.1,0.343,74.0,36.0,322.0,89.0,4.0,189.0,2,9,16
69,Dee Brown,1996,"$3,250,000","$5,635,047",1968-11-29,1991.0,G,6-1,160.0,1591.0,695.0,27.0,BOS,65.0,23.0,13.7,0.256,146.0,80.0,136.0,135.0,68.0,246.0,5,1,7
70,Stanley Roberts,1996,"$3,250,000","$5,635,047",1970-02-07,1992.0,C,7-0,285.0,795.0,356.0,25.0,LAC,51.0,7.0,12.8,0.438,41.0,15.0,162.0,74.0,0.0,141.0,0,14,18
71,Calbert Cheaney,1996,"$3,200,000","$5,548,354",1971-07-17,1994.0,G-F,6-7,209.0,2324.0,1055.0,24.0,WSB,70.0,70.0,13.0,0.236,154.0,67.0,239.0,151.0,52.0,426.0,6,38,15
72,Lionel Simmons,1996,"$3,194,000","$5,537,951",1968-11-14,1991.0,F-G,6-7,210.0,810.0,246.0,27.0,SAC,54.0,5.0,11.6,0.346,83.0,31.0,145.0,55.0,19.0,86.0,4,30,15
73,Olden Polynice,1996,"$3,140,000","$5,444,323",1964-11-21,1988.0,C-F,6-11,220.0,2441.0,985.0,31.0,SAC,81.0,80.0,15.8,0.248,58.0,52.0,764.0,122.0,1.0,431.0,1,30,9
74,Loy Vaught,1996,"$3,100,000","$5,374,968",1968-02-27,1991.0,F,6-9,230.0,2966.0,1298.0,27.0,LAC,80.0,78.0,16.7,0.189,112.0,87.0,808.0,149.0,7.0,571.0,2,14,17
75,Mahmoud Abdul-Rauf,1996,"$3,100,000","$5,374,968",1969-03-09,1991.0,G,6-1,162.0,2029.0,1095.0,26.0,DEN,57.0,53.0,18.6,0.164,389.0,64.0,138.0,146.0,121.0,414.0,5,9,7
76,Sharone Wright,1996,"$3,100,000","$5,374,968",1973-01-30,1995.0,F-C,6-11,260.0,1434.0,664.0,23.0,TOT,57.0,38.0,15.1,0.506,38.0,30.0,356.0,167.0,1.0,248.0,3,34,9
77,Joe Dumars,1996,"$3,075,000","$5,331,622",1963-05-24,1986.0,G,6-3,190.0,2193.0,793.0,32.0,DET,67.0,40.0,13.7,0.329,265.0,43.0,138.0,162.0,121.0,255.0,5,10,11
78,Bobby Hurley,1996,"$3,068,000","$5,319,485",1971-06-28,1994.0,G,6-0,165.0,1059.0,220.0,24.0,SAC,72.0,22.0,6.5,0.37,216.0,28.0,75.0,68.0,22.0,65.0,5,30,6
79,Chris Gatling,1996,"$3,047,000","$5,283,074",1967-09-03,1992.0,F-C,6-10,220.0,1427.0,791.0,28.0,TOT,71.0,2.0,19.9,0.365,43.0,36.0,417.0,139.0,0.0,326.0,3,34,8
80,Rod Strickland,1996,"$3,036,000","$5,264,001",1966-07-11,1989.0,G,6-3,175.0,2526.0,1256.0,29.0,POR,67.0,63.0,19.1,0.413,640.0,97.0,297.0,276.0,38.0,471.0,5,29,11
81,Derrick McKey,1996,"$3,000,000","$5,201,582",1966-10-10,1988.0,F-C,6-9,205.0,2440.0,879.0,29.0,IND,75.0,75.0,14.2,0.31,262.0,83.0,361.0,170.0,17.0,346.0,3,13,17
82,Patrick Ewing,1996,"$3,000,000","$5,201,582",1962-08-05,1986.0,C-F,7-0,240.0,2783.0,1711.0,33.0,NYK,76.0,76.0,20.9,0.317,160.0,68.0,806.0,351.0,4.0,678.0,1,24,18
83,Jim McIlvaine,1996,"$3,000,000","$5,201,582",1972-07-30,1995.0,C,7-1,240.0,1195.0,182.0,23.0,WSB,80.0,6.0,9.7,0.724,11.0,21.0,230.0,58.0,0.0,62.0,0,38,19
84,Dennis Scott,1996,"$3,000,000","$5,201,582",1968-09-05,1991.0,F,6-8,229.0,3041.0,1431.0,27.0,ORL,82.0,82.0,16.1,0.199,243.0,90.0,309.0,182.0,267.0,491.0,2,26,16
85,Clifford Robinson,1996,"$2,924,000","$5,069,809",1966-12-16,1990.0,F-C,6-10,225.0,2980.0,1644.0,29.0,POR,78.0,76.0,16.3,0.415,190.0,86.0,443.0,360.0,178.0,553.0,3,29,8
86,Todd Day,1996,"$2,915,000","$5,054,204",1970-01-07,1993.0,G-F,6-6,188.0,1807.0,922.0,26.0,TOT,79.0,12.0,13.5,0.351,107.0,81.0,224.0,224.0,100.0,299.0,6,34,14
87,Mark Jackson,1996,"$2,900,000","$5,028,196",1965-04-01,1988.0,G,6-1,180.0,2643.0,806.0,30.0,IND,81.0,81.0,15.9,0.305,635.0,100.0,307.0,150.0,64.0,296.0,5,13,7
88,Stojko Vrankovic,1996,"$2,900,000","$5,028,196",,,,,,,,,,,,,,,,,,,,-1,-1,-1
89,Ken Norman,1996,"$2,869,000","$4,974,446",1964-09-05,1988.0,F,6-8,215.0,770.0,304.0,31.0,ATL,34.0,28.0,13.4,0.176,63.0,15.0,132.0,17.0,33.0,127.0,2,0,16
90,Chris Mullin,1996,"$2,844,000","$4,931,100",1963-07-30,1986.0,F-G,6-6,200.0,1617.0,734.0,32.0,GSW,55.0,19.0,16.7,0.297,194.0,75.0,159.0,137.0,59.0,269.0,4,11,14
91,Mookie Blaylock,1996,"$2,800,000","$4,854,810",1967-03-20,1990.0,G,6-0,180.0,2893.0,1268.0,28.0,ATL,81.0,81.0,18.9,0.151,478.0,212.0,332.0,127.0,231.0,455.0,5,0,6
92,Joe Smith,1996,"$2,794,000","$4,844,407",1975-07-26,1996.0,F,6-10,225.0,2821.0,1251.0,20.0,GSW,82.0,82.0,17.2,0.383,79.0,85.0,717.0,303.0,10.0,469.0,2,11,8
93,Luc Longley,1996,"$2,790,000","$4,837,471",1969-01-19,1992.0,C,7-2,265.0,1641.0,564.0,27.0,CHI,62.0,62.0,11.9,0.205,119.0,22.0,318.0,80.0,0.0,242.0,0,5,20
94,Anthony Mason,1996,"$2,777,000","$4,814,931",1966-12-14,1990.0,F,6-7,250.0,3457.0,1196.0,29.0,NYK,82.0,82.0,15.8,0.519,363.0,69.0,764.0,298.0,0.0,449.0,2,24,15
95,Sam Perkins,1996,"$2,730,000","$4,733,440",1961-06-14,1985.0,F-C,6-9,235.0,2169.0,970.0,34.0,SEA,82.0,20.0,15.4,0.302,120.0,83.0,367.0,191.0,129.0,325.0,3,32,17
96,Pooh Richardson,1996,"$2,721,000","$4,717,835",1966-05-14,1990.0,G,6-1,180.0,2013.0,734.0,29.0,LAC,63.0,61.0,14.5,0.158,340.0,77.0,158.0,78.0,94.0,281.0,5,14,7
97,Robert Pack,1996,"$2,700,000","$4,681,424",1969-02-03,1992.0,G,6-2,180.0,1084.0,560.0,26.0,WSB,31.0,31.0,19.3,0.41,242.0,62.0,132.0,154.0,26.0,190.0,5,38,10
98,Lamond Murray,1996,"$2,700,000","$4,681,424",1973-04-20,1995.0,F,6-7,236.0,1816.0,650.0,22.0,LAC,77.0,32.0,11.1,0.23,84.0,61.0,246.0,99.0,37.0,257.0,2,14,15
99,Felton Spencer,1996,"$2,694,000","$4,671,021",1968-01-15,1991.0,C,7-0,265.0,1267.0,396.0,28.0,UTA,71.0,70.0,10.4,0.537,11.0,20.0,306.0,104.0,0.0,146.0,0,35,18
100,Arvydas Sabonis,1996,"$2,640,000","$4,577,392",1964-12-19,1996.0,C,7-3,279.0,1735.0,1058.0,31.0,POR,73.0,21.0,24.7,0.422,130.0,64.0,588.0,231.0,39.0,394.0,0,29,21
101,Hersey Hawkins,1996,"$2,604,000","$4,514,973",1966-09-29,1989.0,G,6-3,190.0,2823.0,1281.0,29.0,SEA,82.0,82.0,16.1,0.304,218.0,149.0,297.0,249.0,146.0,443.0,5,32,11
102,Charles Oakley,1996,"$2,600,000","$4,508,038",1963-12-18,1986.0,F-C,6-8,225.0,1775.0,604.0,32.0,NYK,53.0,51.0,15.1,0.469,137.0,58.0,460.0,175.0,7.0,211.0,3,24,16
103,Chris Childs,1996,"$2,600,000","$4,508,038",1967-11-20,1995.0,G,6-3,195.0,2408.0,1002.0,28.0,NJN,78.0,54.0,16.4,0.391,548.0,111.0,245.0,259.0,95.0,324.0,5,20,11
104,Antonio McDyess,1996,"$2,545,000","$4,412,675",1974-09-07,1996.0,F-C,6-9,220.0,2280.0,1020.0,21.0,DEN,76.0,75.0,15.6,0.276,75.0,54.0,572.0,166.0,0.0,427.0,3,9,17
105,Sarunas Marciulionis,1996,"$2,500,000","$4,334,652",,,,,,1039.0,571.0,31.0,SAC,53.0,0.0,16.7,0.514,118.0,52.0,77.0,155.0,64.0,176.0,-1,30,-1
106,Tim Hardaway,1996,"$2,500,000","$4,334,652",1966-09-01,1990.0,G,6-0,175.0,2534.0,1217.0,29.0,TOT,80.0,46.0,18.7,0.307,640.0,132.0,229.0,241.0,138.0,419.0,5,34,6
107,Chris Morris,1996,"$2,500,000","$4,334,652",1966-01-20,1989.0,F,6-8,210.0,1424.0,691.0,30.0,UTA,66.0,33.0,15.8,0.21,77.0,63.0,229.0,98.0,63.0,265.0,2,35,16
108,Stacey Augmon,1996,"$2,480,000","$4,299,974",1968-08-01,1992.0,F-G,6-8,205.0,2294.0,976.0,27.0,ATL,77.0,49.0,15.9,0.43,137.0,106.0,304.0,251.0,1.0,362.0,4,0,16
109,Micheal Williams,1996,"$2,475,000","$4,291,305",1966-07-23,1989.0,G,6-2,175.0,189.0,55.0,29.0,MIN,9.0,7.0,6.9,0.825,31.0,5.0,23.0,28.0,1.0,13.0,5,19,10
110,Terry Mills,1996,"$2,457,000","$4,260,096",1967-12-21,1991.0,F,6-10,230.0,1656.0,769.0,28.0,DET,82.0,5.0,15.2,0.233,98.0,42.0,352.0,121.0,82.0,283.0,2,10,8
111,Marcus Camby,1996,"$2,434,000","$4,220,217",1974-03-22,1997.0,C-F,6-11,220.0,,,,,,,,,,,,,,,1,-1,9
112,BJ Armstrong,1996,"$2,400,000","$4,161,266",,,,,,,,,,,,,,,,,,,,-1,-1,-1
113,Cedric Ceballos,1996,"$2,400,000","$4,161,266",1969-08-02,1991.0,F,6-6,190.0,2628.0,1656.0,26.0,LAL,78.0,71.0,22.1,0.34,119.0,94.0,536.0,329.0,51.0,638.0,2,15,14
114,Scott Williams,1996,"$2,400,000","$4,161,266",1968-03-21,1991.0,F-C,6-10,230.0,193.0,40.0,27.0,PHI,13.0,1.0,10.5,0.414,5.0,6.0,46.0,10.0,0.0,15.0,3,27,8
115,Jeff Hornacek,1996,"$2,396,000","$4,154,330",1963-05-03,1987.0,G,6-3,190.0,2588.0,1247.0,32.0,UTA,82.0,59.0,19.1,0.33,340.0,106.0,209.0,259.0,104.0,442.0,5,35,11
116,Gheorghe Muresan,1996,"$2,363,000","$4,097,113",,,,,,2242.0,1104.0,24.0,WSB,76.0,76.0,21.0,0.348,56.0,52.0,728.0,172.0,0.0,466.0,-1,38,-1
117,Dan Majerle,1996,"$2,350,000","$4,074,573",1965-09-09,1989.0,G-F,6-6,215.0,2367.0,872.0,30.0,CLE,82.0,15.0,15.1,0.226,214.0,81.0,305.0,120.0,146.0,303.0,6,7,14
118,Andrew Lang,1996,"$2,332,000","$4,043,363",1966-06-28,1989.0,C,6-11,245.0,2365.0,832.0,29.0,TOT,71.0,69.0,11.9,0.197,65.0,42.0,455.0,125.0,1.0,353.0,0,34,9
119,Armen Gilliam,1996,"$2,317,000","$4,017,355",1964-05-28,1988.0,F-C,6-9,230.0,2856.0,1429.0,31.0,NJN,78.0,76.0,17.6,0.288,140.0,73.0,713.0,277.0,0.0,576.0,3,20,17
120,Terry Davis,1996,"$2,300,000","$3,987,880",1967-06-17,1990.0,F-C,6-9,225.0,501.0,137.0,28.0,DAL,28.0,0.0,10.0,0.435,21.0,10.0,117.0,27.0,0.0,55.0,3,8,17
121,Antoine Carr,1996,"$2,300,000","$3,987,880",1961-07-23,1985.0,F-C,6-9,225.0,1532.0,580.0,34.0,UTA,80.0,0.0,10.6,0.282,74.0,28.0,200.0,114.0,0.0,233.0,3,35,17
